Hathaway, Chris 2.5477665323536e-05
Passerini, Andrea 1.98712782087118e-05
Cai, Dongfeng 1.98712782087118e-05
Larson, Ray 1.98712782087118e-05
Sirai, Hidetosi 6.14323845500115e-05
Vieweg, Sarah E. 2.07093983053991e-05
Memmi, D. 2.82524791755844e-05
Di Fabbrizio, Giuseppe 2.44654921799036e-05
Broekett, Chris 3.21977851749273e-05
Lin, Winston 8.5859890248646e-05
Fiszman, Marcelo 6.12800389853119e-05
Matwin, Stan 2.70299997446013e-05
Greenfield, Peter 1.98712782087118e-05
Pirrelli, Vito 7.00709471899482e-05
Moszczynski, Rados Aw 3.40596454914251e-05
Arregi, X. 1.98712782087118e-05
Fimbel, E. 4.40687026064008e-05
Chang, Li-Li 7.74962786265566e-05
Korb, Kevin B. 3.24078300912117e-05
Fisher, Anthony J. 2.94075855053669e-05
Ienco, Dino 1.98712782087118e-05
Li, Qing 1.98712782087118e-05
Poel, Mannes 2.35100176479139e-05
Montgomery, Christine A. 0.000271568880657217
Li, Li 3.36594705039917e-05
Iwasaki, Hideya 0.000150686046101733
Bagga, Amit 0.000298079829724944
Fournier, Rachel 1.98712782087118e-05
Arisoy, Ebru 4.51394002496223e-05
Jun'ichi, TSUJII 1.98712782087118e-05
Wu, Shih-Hung 2.15892157991516e-05
Al-Onaizan, Yaser 0.000335402528114955
Ball, Julian 1.98712782087118e-05
Sutton, Charles 7.41855045522756e-05
Yu, Xiaofeng 6.27892238099052e-05
Potrich, Alessandra 1.98712782087118e-05
CUCCHIARELLI, Alessandro 1.98712782087118e-05
Claassen, Wim 3.2059750973477e-05
Li, Jin 1.98712782087118e-05
Dorffner, Georg 2.84077573870056e-05
Traat, Maarika 1.98712782087118e-05
Sekimizu, Tateshi 8.39435254759585e-05
Kasper, Emilia 2.39678098475455e-05
QuocHung-Ngo 1.98712782087118e-05
Sakaki, Takeshi 2.29497698064891e-05
Patel, Agam 1.98712782087118e-05
Minnen, Guido 0.000254514852747544
Raza, Hafsa 1.98712782087118e-05
Zheng, Dequan 1.98712782087118e-05
Dong, Ming-Chui 1.98712782087118e-05
Marty, Jean-Charles 4.5752098979032e-05
Genzel, Dmitriy 5.44447530319422e-05
Garcia-Vega, Manuel 2.17687137125016e-05
Murthi, Vijay 1.98712782087118e-05
Krause, Paul 3.85191785629353e-05
Ohsawa, Ichiro 2.15528018796487e-05
Nitta, Yoshihiko 0.000169989085624659
Huang, Jin 4.04236680384521e-05
Rafferty, Anna N. 4.34041594098888e-05
Hisamitsu, Toru 4.20530278714545e-05
Baayen, R. Harald 0.000128499036828749
Flank, Sharon 4.20827783041548e-05
Daland, Robert 1.98712782087118e-05
Dong, Ming Chui 2.73024510122654e-05
Moreno, Asuncion 1.98712782087118e-05
Abelson, Robert P. 1.98712782087118e-05
Yu, Hua 4.19424011656804e-05
Goertzel, Izabela 1.98712782087118e-05
Bosch, Sonja 1.98712782087118e-05
Lundborg, Joakim 2.23851667520531e-05
Meijs, Willem 1.98712782087118e-05
Huang, Eng-Fong 0.000271105074579732
Thyme-Gobbel, Ann 0.000101374157793
Chen, Mathis H. 2.59573979649566e-05
Momma, Stefan 5.70779867650243e-05
Borrajo, Daniel 1.98712782087118e-05
Tatar, Doina 1.98712782087118e-05
Vilar, Juan Miguel 6.2421086522203e-05
Sornlertlamvanich, Virach 0.000110033860377901
K¸bler, Sandra 1.98712782087118e-05
Srikanth, Muirathnam 1.98712782087118e-05
Nenova, Irina 1.98712782087118e-05
Niedermair, Gerh. Th. 1.98712782087118e-05
Williams, Ken 2.57452426464149e-05
Elsner, Micha 5.44944573787435e-05
Doermann, David 2.92553615777337e-05
Chen, Chun 1.98712782087118e-05
Sikorski, Teresa 0.000196368816151129
Takagi, Shinichiro 4.40482059405883e-05
Flycht-Eriksson, Annika 2.37602513792326e-05
Pons-Porrata, Aurora 1.98712782087118e-05
Dolbey, Andrew 5.91112040322042e-05
Deschamp, Philippe 4.28231967460252e-05
Krovetz, Robert 6.47690422092013e-05
Mylonakis, Markos 1.98712782087118e-05
Maragoudakis, Manolis 1.98712782087118e-05
Abend, Omri 1.98712782087118e-05
Warren, David H. D. 0.00079329041765695
Prescher, Detlef 0.000446289338121547
Rao, B. Ravi Kiran 1.98712782087118e-05
Liao, Xiantao 2.30643953417026e-05
Stent, A. 1.98712782087118e-05
Manning, Brian 1.98712782087118e-05
Kamboj, Sachin 3.48491972888236e-05
Duarte, Julio C. 1.98712782087118e-05
Rafkind, Barry 4.44762998709514e-05
Qian, Peide 1.98712782087118e-05
Martinez Santiago, Fernando 1.98712782087118e-05
Riley, Michael D. 0.000418035405325944
Nerima, Luka 1.98712782087118e-05
Biewald, Luke 5.6658443966301e-05
Oates, Sarah Louise 1.98712782087118e-05
Batliner, Anton 1.98712782087118e-05
Fakotakis, Nikos D. 7.92667444405839e-05
Pattabhiraman, T. 3.93642422965882e-05
Sagot, BenoÓt 4.27661572898382e-05
Yamada, Atsushi 8.41773135379971e-05
Corley, Steffan 2.64771158421661e-05
Sonnenhauser, Barbara 1.98712782087118e-05
Antonopoulos, V. 2.02611015094966e-05
Litkowski, Kenneth C. 0.000193096508313696
Klenner, Manfred 1.98712782087118e-05
Bopp, Stephan 2.47937125883622e-05
Lopez, Adam 0.000116458368337679
Gill, Alastair 2.64064902176736e-05
Coiera, Enrico 1.98712782087118e-05
Hathout, Nabil 2.3455957946708e-05
Liu, Xingkun 2.17355969455903e-05
Blei, David 1.98712782087118e-05
Doi, Takao 2.92413950464309e-05
Porter, Harry H. 4.51475445531868e-05
Rangarajan Sridhar, Vivek Kumar 2.24835631844282e-05
Neumann, Stella 4.41575251852112e-05
Tomanek, Katrin 5.92353400742649e-05
Atwell, Eric Steven 7.64617572135809e-05
Conner, Joyce 0.000118746655446629
Fukubayashi, Yuichiro 1.98712782087118e-05
Brown, Peter F. 0.00511295287843069
Daciuk, Jan 0.00018356847267361
Zuidema, Willem 2.38265380095726e-05
Peters, Wim 6.43012587069367e-05
SOMERS, Harold L. 1.98712782087118e-05
Pedersen, Ted 0.000675771254555177
Hasegawa, Toshihiro 1.98712782087118e-05
Zollmann, Andreas 0.000127539743977518
Holub, Martin 1.98712782087118e-05
Hunicke-Smith, Kate 0.000230108828433577
Vaz, Paula Cristina 1.98712782087118e-05
Qinlong, Zhang 1.98712782087118e-05
Kurohashi, Sadao 0.000535904785678138
Lee, Gary Geunbae 8.37606810794018e-05
Lewis, William H. 0.000261418192222374
Zapirain, Benat 2.41704593318018e-05
Navarretta, Costanza 2.28170411291862e-05
Gee, F. Ruth 1.98712782087118e-05
Farkas, Rich·rd 2.50064882843315e-05
Xu, Bo 4.2743106662129e-05
Xu, Mingxing 1.98712782087118e-05
Khegai, Janna 2.12890884400013e-05
Oemig, Frank 1.98712782087118e-05
Ng, Andrew Y. 0.000182137439393265
Shishtla, Praneeth M. 1.98712782087118e-05
Agerri, R. 1.98712782087118e-05
Murakami, Masahiko 2.93979783277047e-05
Delpech, Estelle 1.98712782087118e-05
Bott, Stefan 1.98712782087118e-05
Turner, Jenine 6.96655276714511e-05
Cuadros, Montse 4.86007029514837e-05
” SÈaghdha, Diarmuid 1.98712782087118e-05
Taylor, Gregory S. 5.34178713157386e-05
