Aarseth, Paul
Aarts, Erik
ERROR
Abaitua, Joseba
Abascal, Julio G.
Abate, Solomon Teferra
Abb, Bernd
Abbes, Ramzi
Abdalla, Rashid M.
Abdelali, Ahmed
ERROR
Abdul, Mujibur
Abe, Akinori
Abe, Masahiro
Abe, Naoki
Abe, Norihiro
Abe, Yoshiharu
Abeille, Anne
Abekawa, Takeshi
Abella, Alicia
Abelson, Robert P.
Aberdeen, John
Abeysinghe, Geetha
ERROR
Abolhassani Chime, Zahra
Abracos, Jose
Abraham, Maryvonne
Abraham, S.
Abramowicz, Witold
Abramson, Harvey
Abrash, Victor
Abrusci, V. Michele
ERROR
Abu-Salem, Hani
Abuleil, Saleem
ERROR
Achour, Hadhemi
Ackerman, Christopher
Acomb, Kate
Acquaah-Mensah, George
Adachi, Fumihiro
Adachi, Hisahiro
Adali, Esref
Adams, Brian
Adams, Gary
Adams, Maria
Adams, Rod
Adcock, John E.
Adda, Gilles
Adda-Decker, Martine
Addison, Edwin
Adler, Meni
Adolphs, Svenja
Adorni, Giovanni
ERROR
Adriaans, Pieter
Adriaens, Geert
Aduriz, Itziar
Afendras, Evangelos A.
Afify, Mohamed
Agarwal, Abhaya
Agarwal, Rajeev
Agbago, Akakpo
Ageno, Alicia
Agerri, Rodrigo
Agichtein, Eugene
Agirre, Eneko
Agrawal, Saumya
Agren, Malin
Aguilera Navarro, Santiago
Agustini, Alexandre
Ahlsen, Elisabeth
Ahlswede, Thomas E.
Ahmad, Farooq
ERROR
Ahmad, Khurshid
Ahmed, Syed Toufeeq
Ahn, David
Ahn, Jung-Ho
Ahn, Kisuh
Ahonen-Myka, Helana
Ahrenberg, Lars
Ahrens, Kathleen
Ai, Hua
Aidinejad, Homa
Aikawa, Kiyoaki
Aikawa, Takako
Ailomaa, Marita
Ainon, Raja Noor
Aiso, Hideo
Aist, Gregory
Ait-Mokhtar, Salah
ERROR
Aizawa, Teruaki
Aizono, Toshiko
Ajani, Gianmaria
Akama, Seiki
Akamine, Susumu
Akbar, Mohammad
Akerberg, Ola
Akhtar, Shazia
Akiba, Tomoyosi
Akiba, Yasuhiro
Akiva, Navot
Akiyama, Kouji
Al Kharashi, Ibrahim A.
Al Shehabi, Shadi
Al Sughaiyer, Imad A.
Al-Adhaileh, Mosleh Hmoud
Al-Fares, Waleed
Al-Maskari, Azzah
Al-Onaizan, Yaser
Al-Raheb, Yafa
Al-Shalabi, Riyad
Al-Thubaity, AbdulMohsen
Alam, Hassan
Albrecht, Joshua
Albright, Adam
Albro, Daniel M.
Alcantara, Manuel
Aldabe, Itziar
Aldag, Bjorn
Aldaz Salmon, Javier A.
Alder, Michael D.
Aldezabal, Izaskun
Alegre, Martha A.
ERROR
Alemu Argaw, Atelach
Aleven, Vincent
Alex, Beatrice
Alexander, Dorcas
Alexander, James H.
Alexandersson, Jan
Alexandrescu, Andrei
Alexandrov-Kabadjov, Mijail
Alexin, Zoltan
Alfonseca, Enrique
Ali, Syed S.
Alink, Wouter
Alishahi, Afra
Alkhalifa, Musa
Allan, James
Allaria, Gianluca
Allauzen, Alexandre
Allauzen, Cyril
Allbeck, Jan
Allegrini, Paolo
Allen, Barry A.
Allen, Eileen E.
Allen, James F.
Allen, Jonathan
Alleva, Fileno A.
Allgayer, Jurgen
Allison, Ben
Allison, Timothy
Allmuallim, Ilussein
Allport, David
Allwood, Jens
Alm, Cecilia Ovesdotter
Alm, Norman
Almas, Yousif
Almuhareb, Abdulrahman
Alonge, Antonietta
Alonso Alemany, Laura
ERROR
ERROR
Alonso, Miguel A.
Alonso, Yuan A.
Alphonse, Erick
Alsamara, Khalid
Alshawi, Hiyan
Althaus, Ernst
Altmann, Gerry
Altmayer, Anne
Altomari, Patrick J.
Altun, Yasemin
ERROR
Alvarez, Alison
Alvarez, Amaury
Alvarez-De-Mon, Inmaculada
Alviset, Christophe
Alzghool, Muath
Amano, Shigeaki
Amano, Shin-Ya
Amaral, Luiz
Amaya, Fredy A.
Amble, Tore
Amengual, J. C.
ERROR
Amin, Samir K.
Amir, Amihood
Amitay, Einat
Amo, Pedro
Amoia, Marilisa
Amores, J. Gabriel
Amorrortu, Estibaliz
Amsili, Pascal
Amsler, Robert A.
Amtrup, Jan W.
An, Joohui
Anand, Pranav
Ananiadou, Sophia
Anastasakos, Anastasios
Anaya-Sanchez, Henry
Andersen, Peggy M.
Anderson, Anne H.
Anderson, Barbara B.
Anderson, Don D.
Anderson, John R.
Anderson, Lloyd B.
Andersson, Mikael
Ando, Rie Kubota
Ando, Sachiko
ERROR
Andre, Elisabeth
Andreevskaia, Alina
Andreewsky, Alexandre
Andreka, H.
Andreoff, David
Andres, Frederic
Andrew, Adrienne
Andrew, Galen
Andrewshtshenko, V.
Andreyev, Nicholas D.
Andreyev, Slava
Andrezen, V.
Androutsopoulos, Ion
Andrukovich, P. F.
Andry, Francois
Andrzejewski, David
Ang, Jeremy
Angelova, Galia
Angheluta, Roxana
Anick, Peter G.
Anikst, Mark T.
Ansa, Olatz
Ansari, Daniel
Anshen, Frank
Anthony, Stephen
Antohe, Daniel
Antoine, Jean-Yves
Antoniadis, G.
Antonopoulos, V.
Aoe, Jun-Ichi
ERROR
Aone, Chinatsu
Aouladomar, Farida
Apel, Ulrich
Appelbaum, Lee A.
Appelo, Lisette
Appelt, Douglas E.
Aquing, P.
Arabsorkhi, Mohsen
Araki, Kenji
Araki, Masahiro
Araki, Tetsuo
Aramaki, Eiji
Arampatzis, Avi
Aranzabe, Maxux J.
Arapov, M. V.
Archer, Dawn
Ardissono, Liliana
Arens, Robert
Arens, Roman G.
Arens, Yigal
Aretoulaki, Maria
Argamon, Shlomo
Argenton, Hans
Arguello, Jaime
Arifin, S. M. Niaz
Arimoto, Yoshiko
Arioka, M.
Arisoy, Ebru
Arita, Hidekazu
Arita, Seigo
Armanasu, Alex
Armsby, Polly
Armstrong, Susan
Arnaiz, Alfredo
Arnola, Harri
Arnold, Carolin
Arnold, Doug J.
Aronoff, Mark
Aronson, Alan R.
Arosio, Fabrizio
Arregi, Olatz
Arregi, Xabier
Arregui, Miguel
Arrieta, Bertol
Arriola, Jose Maria
Arrowood, Jon A.
Arsentyeva, N. G.
Artale, Alessandro
Artemieff, Suzanne
Artigas, Nuria
Artiles, Javier
Artola, Xabier
Artstein, Ron
Aruga, Norikazu
Arumainayagam, Yogi
Arun, Abhishek
Asa, Yasuhiro
Asada, Yoshiaki
Asadi, Ayman
Asahara, Masayuki
Asher, Nicholas
Ashley, Kevin D.
Asker, Lars
Assadi, Houssem
ERROR
Aswani, Niraj
Atallah, Mikhail J.
Atkins, B. T. S.
Atlam, El-Sayed
Atserias, Jordi
Attardi, Giuseppe
Atterer, Michaela
Attia, Mohammed
Atutxa, Aitziber
Atwell, Eric Steven
Aubin, Sophie
Audibert, Laurent
Aue, Anthony
Auer, John
August, Stephanie E.
Austerweil, Joseph
Austin, Steve
Avgustinova, Tania
Avram, Dana
ERROR
Axelrod, Amittai
Axelrod, Scott
Ayan, Necip Fazil
Aylett, Ruth
Ayo, Jonathan P.
Ayuso, Damaris M.
Azuma, Ai
Azzam, Saliha
Azzopardi, Leif
Ba, Ousmane
Baart, Joan L. G.
Baayen, R. Harald
Babko-Malaya, Olga
Babych, Bogdan
ERROR
Bacchiani, Michiel
Bach, Nguyen
Bachenko, Joan
Bachimont, Bruno
Bachman, Lyle F.
Bachrach, J. A.
Bachut, Daniel
Backer, Wm. J.
Backofen, Rolf
Backus, Sarah
ERROR
Badia, Toni
Badler, Norman
Badran, Ahmed
Badulescu, Adriana
