A00-1001	187
A00-1002	13467;3431;13692
A00-1003	2367
A00-1004	1241;5922
A00-1005	363;7838;8887
A00-1006	9043;7894;3950
A00-1007	13569;1638
A00-1008	2455
A00-1009	4585;4185;4309;6707
A00-1010	7747
A00-1011	246;6711
A00-1012	7792;2552
A00-1013	8838;8839;6690
A00-1014	1365
A00-1015	2522;622
A00-1016	6746;3350;3690
A00-1017	5430;2192;965;1951;6217;6755;7333;8207
A00-1018	3840
A00-1019	4543;2411;4549
A00-1020	3104;5092
A00-1021	6676;6580;7130
A00-1022	942;7261;264
A00-1023	7731;4777
A00-1024	8247
A00-1025	1023;5900;6462;901
A00-1026	6869;6691;3520
A00-1027	9160
A00-1028	1002;7135
A00-1029	3879;9231
A00-1030	8929
A00-1031	818
A00-1032	9064;5286
A00-1033	14010;823;6490
A00-1034	7731;5966;4777
A00-1035	6210
A00-1036	8929;735;3426;4416;5222;2881
A00-1037	15109;13347;7031
A00-1038	8730
A00-1039	9108;2909;8060;3536
A00-1040	7792;2552
A00-1041	14749;1464;7579
A00-1042	8620;4197;2190
A00-1043	3762
A00-1044	5502;713;7326;7813;8792
A00-1045	862
A00-1046	1439;5371;1423
A00-2001	5272;6516;8270
A00-2002	5174;1037;8732
A00-2003	7833;8908
A00-2004	1335
A00-2005	3243;846
A00-2006	163;584;991;6999;9244
A00-2007	8215
A00-2008	3773;2331
A00-2009	6350
A00-2010	6518
A00-2011	6250;4831
A00-2012	1100;7695;5542
A00-2013	13467
A00-2014	3121;8813;8694;3781;3238
A00-2015	8413;5957;2498;5286
A00-2016	3257
A00-2017	2193;6980
A00-2018	1195
A00-2019	14848;4593
A00-2020	2172
A00-2021	3779;6857
A00-2022	1116;14832
A00-2023	11884
A00-2024	3762;5384
A00-2025	9256;8631
A00-2026	6731
A00-2027	1365
A00-2028	8643;11884;8939;2834;4875
A00-2029	4875;14978;7946
A00-2030	5511;2425;6713;8792
A00-2031	659;1195
A00-2032	212;4639
A00-2033	5634
A00-2034	5343
A00-2035	5495
A00-2036	5848;7201
A00-2037	8716;3209
A00-2038	4287
A00-2039	8651
A00-2040	784
A00-2041	15208
A00-2042	2606;4293
A00-2043	6933;3028
A00-3001	1274
A00-3002	1621
A00-3003	2611
A00-3004	2704;6227
A00-3005	2786;6156
A00-3006	3296
A00-3007	4898;1862;1873
A00-3008	6041
A83-1001	3812
A83-1002	8099;924
A83-1003	8175;8178
A83-1004	2732
A83-1005	2945;8069
A83-1006	2924
A83-1007	2909;3324;2469
A83-1008	7075
A83-1009	5620
A83-1010	2338;15155
A83-1011	4670;7525
A83-1012	6336;2144
A83-1013	707;7706
A83-1014	8792
A83-1015	3726;3216
A83-1016	5208
A83-1017	2872;7757;8079;9171
A83-1018	8640
A83-1019	6766;1329;684
A83-1020	1546
A83-1021	8357;7451;678;5860
A83-1022	3019;3821
A83-1023	8597
A83-1024	9251
A83-1025	5239
A83-1026	7664
A83-1027	5951;1958
A83-1028	7603
A83-1029	5425
