paper_id	author_id	affiliation_id
C86-1068	10003	1
C98-1070	2610	2
P98-1073	2610	2
C98-1070	3765	2
P98-1073	3765	2
C98-1070	10003	2
P98-1073	10003	2
E09-1040	10007	3
L08-1119	10007	3
L08-1374	10007	3
C08-2010	10007	4
W04-1105	1268	5
W06-1624	1268	5
I05-1001	1993	5
P06-2023	1993	5
W06-1624	1993	5
W04-1119	2230	5
W06-1624	2584	5
I05-1001	3448	5
P06-2023	3448	5
W02-1806	3464	5
W04-1105	3740	5
P06-2125	4754	5
W04-1105	4891	5
W06-1624	4891	5
W07-1110	4891	5
C94-2207	4978	5
I05-1001	4978	5
P06-2023	4978	5
W04-1105	4978	5
W06-1624	4978	5
W07-1110	4978	5
W02-1806	6367	5
P04-1059	6644	5
C08-1044	7447	5
P06-2023	8192	5
W98-1434	8682	5
P03-1032	8706	5
P06-2023	8961	5
W06-1624	8961	5
W02-1806	8968	5
P06-4010	9111	5
W05-0401	9111	5
W98-1434	9111	5
H05-1027	9197	5
H05-1027	9212	5
I05-1083	9212	5
W98-1434	9277	5
W07-1110	9324	5
P06-2125	9369	5
P08-1104	9509	5
D08-1054	9626	5
P08-1019	9799	5
P08-1104	9799	5
C08-1063	10008	5
C08-1044	10097	5
C08-1063	10366	5
I08-1022	10385	5
D08-1054	11026	5
I08-1022	11201	5
I08-1022	11246	5
P08-1104	11253	5
C08-1063	11290	5
P08-1019	11290	5
P08-1104	11290	5
P09-1001	11290	5
P08-1104	11324	5
P09-1001	11493	5
P09-1001	11538	5
P09-1001	12433	5
D09-1054	12446	5
L08-1290	9791	6
W09-1215	9791	6
L08-1290	10009	6
C08-1062	10047	6
P09-2030	10047	6
I08-2120	10332	6
I08-2120	10358	6
L08-1290	10812	6
W09-1215	10812	6
W09-1215	12384	6
W09-1215	12473	6
C88-1020	1000	7
C94-2210	7426	7
H90-1054	7426	7
W07-0734	61	8
W08-0312	61	8
W08-0324	61	8
A97-1003	91	8
C04-1196	129	8
N04-3010	131	8
H89-2036	152	8
H90-1063	152	8
H92-1080	152	8
H93-1016	152	8
L08-1581	178	8
N06-2002	178	8
N06-2003	269	8
N06-4001	269	8
W05-0208	269	8
W06-3407	269	8
N07-1046	347	8
N09-2001	347	8
N09-2038	347	8
P08-2020	347	8
W08-0321	347	8
N03-4015	359	8
C94-1012	376	8
N06-4003	406	8
P05-3019	406	8
W05-0909	406	8
W06-3404	406	8
W07-2086	406	8
